County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,CTYNAME,STNAME
"Alachua County, FL",12001.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Alachua County,FL
"Bay County, FL",12005.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,Bay County,FL
"Brevard County, FL",12009.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0,Brevard County,FL
"Brevard County, FL",12009.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Brevard County,FL
"Broward County, FL",12011.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,222.0,Broward County,FL
"Broward County, FL",12011.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,40.0,Broward County,FL
"Citrus County, FL",12017.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Citrus County,FL
"Clay County, FL",12019.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,Clay County,FL
"Collier County, FL",12021.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,Collier County,FL
"Duval County, FL",12031.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0,Duval County,FL
"Duval County, FL",12031.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,Duval County,FL
"Escambia County, FL",12033.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,Escambia County,FL
"Hernando County, FL",12053.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0,Hernando County,FL
"Hillsborough County, FL",12057.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,231.0,Hillsborough County,FL
"Hillsborough County, FL",12057.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0,Hillsborough County,FL
"Indian River County, FL",12061.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Indian River County,FL
"Lake County, FL",12069.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Lake County,FL
"Lee County, FL",12071.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0,Lee County,FL
"Lee County, FL",12071.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,Lee County,FL
"Leon County, FL",12073.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Leon County,FL
"Manatee County, FL",12081.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,Manatee County,FL
"Marion County, FL",12083.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,Marion County,FL
"Martin County, FL",12085.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Martin County,FL
"Miami-Dade County, FL",12086.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,110.0,Miami-Dade County,FL
"Miami-Dade County, FL",12086.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,39.0,Miami-Dade County,FL
"Monroe County, FL",12087.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Monroe County,FL
"Nassau County, FL",12089.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Nassau County,FL
"Okaloosa County, FL",12091.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,Okaloosa County,FL
"Orange County, FL",12095.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,93.0,Orange County,FL
"Orange County, FL",12095.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Orange County,FL
"Osceola County, FL",12097.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,Osceola County,FL
"Palm Beach County, FL",12099.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,220.0,Palm Beach County,FL
"Palm Beach County, FL",12099.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,30.0,Palm Beach County,FL
"Palm Beach County, FL",12099.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0,Palm Beach County,FL
"Pasco County, FL",12101.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0,Pasco County,FL
"Pasco County, FL",12101.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Pasco County,FL
"Pinellas County, FL",12103.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,202.0,Pinellas County,FL
"Pinellas County, FL",12103.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,33.0,Pinellas County,FL
"Polk County, FL",12105.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,Polk County,FL
"Polk County, FL",12105.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,Polk County,FL
"St. Johns County, FL",12109.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,St. Johns County,FL
"St. Lucie County, FL",12111.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,St. Lucie County,FL
"Santa Rosa County, FL",12113.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Santa Rosa County,FL
"Sarasota County, FL",12115.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0,Sarasota County,FL
"Sarasota County, FL",12115.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,Sarasota County,FL
"Seminole County, FL",12117.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0,Seminole County,FL
"Seminole County, FL",12117.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,Seminole County,FL
"Volusia County, FL",12127.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,Volusia County,FL
"Volusia County, FL",12127.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,Volusia County,FL
"Walton County, FL",12131.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Walton County,FL
"Hawaii County, HI",15001.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0,Hawaii County,HI
"Honolulu County, HI",15003.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,Honolulu County,HI
"Honolulu County, HI",15003.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0,Honolulu County,HI
"Acadia Parish, LA",22001.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0,Acadia Parish,LA
"Ascension Parish, LA",22005.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Ascension Parish,LA
"Bossier Parish, LA",22015.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,Bossier Parish,LA
"Caddo Parish, LA",22017.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,Caddo Parish,LA
"Calcasieu Parish, LA",22019.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,53.0,Calcasieu Parish,LA
"East Baton Rouge Parish, LA",22033.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,East Baton Rouge Parish,LA
"Jefferson Parish, LA",22051.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,117.0,Jefferson Parish,LA
"Lafayette Parish, LA",22055.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,Lafayette Parish,LA
"Lafourche Parish, LA",22057.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Lafourche Parish,LA
"Livingston Parish, LA",22063.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,Livingston Parish,LA
"Orleans Parish, LA",22071.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,Orleans Parish,LA
"Ouachita Parish, LA",22073.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,Ouachita Parish,LA
"St. Charles Parish, LA",22089.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,St. Charles Parish,LA
"St. Landry Parish, LA",22097.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,St. Landry Parish,LA
"St. Tammany Parish, LA",22103.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,63.0,St. Tammany Parish,LA
"Tangipahoa Parish, LA",22105.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Tangipahoa Parish,LA
"Terrebonne Parish, LA",22109.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Terrebonne Parish,LA
"Washington Parish, LA",22117.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Washington Parish,LA
"Clark County, NV",32003.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,306.0,Clark County,NV
"Clark County, NV",32003.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,68.0,Clark County,NV
"Washoe County, NV",32031.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,63.0,Washoe County,NV
"Washoe County, NV",32031.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Washoe County,NV
"Albany County, NY",36001.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Albany County,NY
"Albany County, NY",36001.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0,Albany County,NY
"Bronx County, NY",36005.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,157.0,Bronx County,NY
"Bronx County, NY",36005.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Bronx County,NY
"Broome County, NY",36007.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Broome County,NY
"Chautauqua County, NY",36013.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0,Chautauqua County,NY
"Dutchess County, NY",36027.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,Dutchess County,NY
"Erie County, NY",36029.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Erie County,NY
"Erie County, NY",36029.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,51.0,Erie County,NY
"Kings County, NY",36047.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,198.0,Kings County,NY
"Kings County, NY",36047.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Kings County,NY
"Monroe County, NY",36055.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,Monroe County,NY
"Monroe County, NY",36055.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Monroe County,NY
"Nassau County, NY",36059.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,102.0,Nassau County,NY
"Nassau County, NY",36059.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Nassau County,NY
"New York County, NY",36061.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0,New York County,NY
"New York County, NY",36061.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,27.0,New York County,NY
"Niagara County, NY",36063.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13.0,Niagara County,NY
"Oneida County, NY",36065.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,Oneida County,NY
"Onondaga County, NY",36067.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,Onondaga County,NY
"Onondaga County, NY",36067.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,Onondaga County,NY
"Orange County, NY",36071.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,Orange County,NY
"Oswego County, NY",36075.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Oswego County,NY
"Queens County, NY",36081.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,132.0,Queens County,NY
"Queens County, NY",36081.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,Queens County,NY
"Richmond County, NY",36085.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,Richmond County,NY
"Saratoga County, NY",36091.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Saratoga County,NY
"Steuben County, NY",36101.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Steuben County,NY
"Suffolk County, NY",36103.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,158.0,Suffolk County,NY
"Suffolk County, NY",36103.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,Suffolk County,NY
"Sullivan County, NY",36105.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Sullivan County,NY
"Ulster County, NY",36111.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Ulster County,NY
"Ulster County, NY",36111.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,Ulster County,NY
"Westchester County, NY",36119.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0,Westchester County,NY
"Westchester County, NY",36119.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Westchester County,NY
"Canadian County, OK",40017.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Canadian County,OK
"Cleveland County, OK",40027.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,Cleveland County,OK
"Comanche County, OK",40031.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Comanche County,OK
"Creek County, OK",40037.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Creek County,OK
"Muskogee County, OK",40101.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Muskogee County,OK
"Oklahoma County, OK",40109.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,120.0,Oklahoma County,OK
"Oklahoma County, OK",40109.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,Oklahoma County,OK
"Pottawatomie County, OK",40125.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Pottawatomie County,OK
"Tulsa County, OK",40143.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,125.0,Tulsa County,OK
"Tulsa County, OK",40143.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Tulsa County,OK
"Wagoner County, OK",40145.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Wagoner County,OK
"Clackamas County, OR",41005.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,Clackamas County,OR
"Jackson County, OR",41029.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Jackson County,OR
"Josephine County, OR",41033.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Josephine County,OR
"Lane County, OR",41039.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,Lane County,OR
"Marion County, OR",41047.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,Marion County,OR
"Multnomah County, OR",41051.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,129.0,Multnomah County,OR
"Multnomah County, OR",41051.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Multnomah County,OR
"Multnomah County, OR",41051.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0,Multnomah County,OR
"Washington County, OR",41067.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Washington County,OR
"Washington County, OR",41067.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,Washington County,OR
"Aiken County, SC",45003.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Aiken County,SC
"Anderson County, SC",45007.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,Anderson County,SC
"Berkeley County, SC",45015.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Berkeley County,SC
"Charleston County, SC",45019.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0,Charleston County,SC
"Georgetown County, SC",45043.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Georgetown County,SC
"Greenville County, SC",45045.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0,Greenville County,SC
"Greenville County, SC",45045.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,Greenville County,SC
"Horry County, SC",45051.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,Horry County,SC
"Lexington County, SC",45063.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,Lexington County,SC
"Oconee County, SC",45073.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Oconee County,SC
"Pickens County, SC",45077.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,Pickens County,SC
"Richland County, SC",45079.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Richland County,SC
"Spartanburg County, SC",45083.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,35.0,Spartanburg County,SC
"York County, SC",45091.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,York County,SC
"Bell County, TX",48027.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Bell County,TX
"Bexar County, TX",48029.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,104.0,Bexar County,TX
"Brazoria County, TX",48039.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Brazoria County,TX
"Cameron County, TX",48061.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Cameron County,TX
"Collin County, TX",48085.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,Collin County,TX
"Dallas County, TX",48113.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,193.0,Dallas County,TX
"Dallas County, TX",48113.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Dallas County,TX
"Dallas County, TX",48113.0,2007.0,2007.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13.0,Dallas County,TX
"Denton County, TX",48121.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,Denton County,TX
"Ector County, TX",48135.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,Ector County,TX
"El Paso County, TX",48141.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,El Paso County,TX
"Fort Bend County, TX",48157.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Fort Bend County,TX
"Galveston County, TX",48167.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0,Galveston County,TX
"Harris County, TX",48201.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,425.0,Harris County,TX
"Harris County, TX",48201.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,68.0,Harris County,TX
"Hidalgo County, TX",48215.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Hidalgo County,TX
"Jefferson County, TX",48245.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Jefferson County,TX
"Liberty County, TX",48291.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Liberty County,TX
"Lubbock County, TX",48303.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Lubbock County,TX
"McLennan County, TX",48309.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,McLennan County,TX
"Midland County, TX",48329.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Midland County,TX
"Montgomery County, TX",48339.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,58.0,Montgomery County,TX
"Nueces County, TX",48355.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0,Nueces County,TX
"Orange County, TX",48361.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,Orange County,TX
"San Patricio County, TX",48409.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,San Patricio County,TX
"Smith County, TX",48423.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,Smith County,TX
"Tarrant County, TX",48439.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,118.0,Tarrant County,TX
"Tarrant County, TX",48439.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,Tarrant County,TX
"Taylor County, TX",48441.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Taylor County,TX
"Travis County, TX",48453.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,Travis County,TX
"Travis County, TX",48453.0,2007.0,2007.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Travis County,TX
"Webb County, TX",48479.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Webb County,TX
"Wichita County, TX",48485.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Wichita County,TX
"Williamson County, TX",48491.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Williamson County,TX
"Benton County, WA",53005.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Benton County,WA
"Clallam County, WA",53009.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Clallam County,WA
